municipio,uf,regiao,ano,meta,target
Faxinal do Soturno,RS,Sul,2024,79.26,0
Américo Brasiliense,SP,Sudeste,2024,68.63,1
Antônio Almeida,PI,Nordeste,2024,80.0,0
Tapera,RS,Sul,2024,64.43,1
Santa Terezinha do Tocantins,TO,Norte,2024,60.03,0
Santa Tereza de Goiás,GO,Centro-Oeste,2024,80.0,1
Nova Bréscia,RS,Sul,2024,77.71,1
São Gonçalo do Sapucaí,MG,Sudeste,2024,76.83,1
Medeiros,MG,Sudeste,2024,80.0,0
Cerro Branco,RS,Sul,2024,73.15,0
Ribeirão dos Índios,SP,Sudeste,2024,72.08,1
Ipê,RS,Sul,2024,80.0,0
Canindé,CE,Nordeste,2024,80.0,1
São João d'Aliança,GO,Centro-Oeste,2024,80.0,1
Viadutos,RS,Sul,2024,80.0,0
Funilândia,MG,Sudeste,2024,56.12,1
Ferros,MG,Sudeste,2024,44.57,1
Rio do Campo,SC,Sul,2024,69.94,1
São José do Divino,MG,Sudeste,2024,50.96,1
Montauri,RS,Sul,2024,80.0,0
Mato Leitão,RS,Sul,2024,80.0,0
São João da Paraúna,GO,Centro-Oeste,2024,80.0,1
Sete de Setembro,RS,Sul,2024,78.78,0
Araguaiana,MT,Centro-Oeste,2024,80.0,1
Manoel Viana,RS,Sul,2024,35.72,1
Campo Azul,MG,Sudeste,2024,80.0,0
Vila Valério,ES,Sudeste,2024,80.0,1
São José do Rio Pardo,SP,Sudeste,2024,52.98,1
Andradina,SP,Sudeste,2024,60.79,1
Bom Sucesso,MG,Sudeste,2024,69.34,1
Formosa do Sul,SC,Sul,2024,67.78,1
Bauru,SP,Sudeste,2024,49.57,1
Buritama,SP,Sudeste,2024,66.64,1
São Francisco do Piauí,PI,Nordeste,2024,61.76,1
Bertioga,SP,Sudeste,2024,58.87,1
Borborema,PB,Nordeste,2024,80.0,0
São José do Rio Pardo,SP,Sudeste,2024,52.98,1
Ecoporanga,ES,Sudeste,2024,70.94,1
Graça,CE,Nordeste,2024,80.0,1
Capão Bonito,SP,Sudeste,2024,65.3,1
Dona Emma,SC,Sul,2024,80.0,1
Santa Luzia do Paruá,MA,Nordeste,2024,80.0,1
Pirangi,SP,Sudeste,2024,80.0,0
Três Pontas,MG,Sudeste,2024,64.27,1
